"Nyheter","Tillit","Rettferdige","Pavirkning","Tillit_Storting","Tillit_Dom","Tillit_Politi","Tillit_Politikere","Stemme","Alder","Kjonn","Inntekt","Utdanning"
180,7,7,3,8,8,9,6,NA,61,1,7,12
5,7,8,2,5,5,7,2,7,30,1,3,6
60,8,8,3,8,9,9,8,4,54,1,7,13
10,6,6,4,7,4,4,3,7,21,1,3,6
180,8,8,3,10,10,10,8,7,62,1,3,9
45,5,7,2,8,8,9,9,NA,15,2,NA,2
5,7,5,3,5,8,8,3,NA,39,1,4,6
10,7,7,3,7,7,8,7,6,21,2,1,9
120,8,7,4,6,9,9,6,7,55,2,8,13
30,7,7,3,8,9,9,7,5,31,1,6,10
60,7,8,4,8,9,8,7,2,39,1,3,7
150,3,7,4,5,5,5,3,3,62,2,6,5
75,5,6,1,2,3,3,2,NA,39,2,9,10
30,6,6,3,8,9,9,7,8,62,1,4,6
60,6,6,3,8,7,9,8,3,61,1,5,3
90,10,6,2,6,9,9,4,7,62,2,2,6
30,8,10,3,5,7,3,3,6,24,1,NA,6
120,6,7,3,4,3,7,6,8,23,2,5,6
30,5,7,3,5,8,4,4,11,29,1,3,5
60,2,4,2,7,7,7,5,11,26,2,NA,3
1010,8,7,3,6,7,8,4,3,45,2,6,11
60,7,7,3,8,6,6,3,10,23,1,9,6
30,8,9,3,8,10,10,6,NA,35,1,3,10
60,8,7,2,6,8,8,4,11,62,1,6,6
90,4,7,3,5,5,6,4,7,62,2,6,13
60,9,8,3,8,9,7,7,7,35,1,10,6
120,3,3,4,9,1,2,5,8,46,2,2,5555
60,7,10,3,8,8,8,7,NA,42,2,NA,6
10,5,7,3,6,6,5,5,3,36,2,4,3
45,10,10,4,9,9,9,7,4,53,2,10,13
60,10,8,2,5,9,9,3,NA,66,2,NA,9
120,4,4,2,5,4,4,4,7,68,1,9,6
60,10,10,4,8,10,10,8,NA,69,2,5,9
120,8,8,3,7,8,8,6,10,46,1,8,9
120,8,8,4,6,7,7,7,2,44,2,9,10
60,8,8,2,5,8,8,5,2,63,1,3,9
45,9,9,3,7,8,6,5,2,49,1,8,13
30,8,7,2,2,7,8,1,7,53,1,5,6
240,7,7,3,9,8,6,7,3,48,1,7,6
15,6,6,3,6,7,8,5,3,42,2,7,10
30,8,8,2,6,9,9,7,3,58,1,9,5
15,9,9,3,5,7,6,5,4,36,2,8,11
15,7,8,3,8,9,9,7,3,49,1,6,5
30,7,5,3,8,8,8,8,NA,75,1,NA,3
90,8,7,2,5,8,8,3,7,32,1,8,12
15,8,6,2,6,7,5,4,6,63,1,2,6
15,7,5,3,6,8,6,3,4,22,1,6,5
30,8,9,3,8,9,9,5,3,60,1,5,5
60,4,6,3,4,4,4,3,7,61,2,8,9
60,1,6,1,0,0,2,0,4,66,1,1,6
NA,5,5,4,1,5,8,0,3,53,2,3,10
20,7,4,3,8,8,5,5,3,57,1,4,5
75,4,4,2,3,6,8,3,2,23,2,5,5
120,7,8,1,3,2,3,2,8,67,2,5,5
10,8,7,3,4,5,6,3,7,54,2,2,6
15,5,5,NA,5,3,3,5,NA,22,2,2,6
784,6,6,3,8,9,9,6,2,63,2,6,9
30,10,NA,NA,9,8,8,7,3,38,2,1,12
NA,5,10,4,5,6,6,5,NA,58,1,NA,6
20,8,2,3,6,9,3,4,6,53,1,4,6
90,5,7,3,7,7,8,6,7,24,2,6,10
45,9,8,3,1,5,4,3,NA,35,1,3,12
15,3,3,2,3,6,6,2,6,50,2,7,5
10,7,8,3,8,8,7,7,NA,37,1,3,10
120,8,7,2,3,5,8,2,7,81,1,6,6
150,8,8,4,10,10,10,7,7,21,1,7,5
180,9,8,3,8,8,8,6,8,68,1,4,3
30,9,9,4,9,10,10,5,3,23,1,9,9
0,3,5,3,5,5,5,5,NA,56,1,8,6
60,8,5,2,10,10,10,9,NA,19,2,2,3
60,5,7,4,5,8,6,0,3,31,1,1,5
755,8,7,3,8,9,9,7,2,55,2,2,12
180,8,10,3,4,7,7,5,2,90,2,3,8
60,7,8,4,9,8,8,6,NA,34,1,5,12
360,3,5,3,8,9,5,3,3,66,1,7,11
45,7,8,3,6,8,8,5,3,37,2,3,12
300,6,8,3,5,7,8,5,6,27,2,7,10
90,7,9,3,5,9,9,4,3,51,1,4,6
15,8,8,3,9,9,9,7,2,26,2,6,13
30,6,7,3,7,6,6,6,6,60,1,4,5
60,8,8,4,10,8,10,5,2,33,2,NA,13
30,5,6,2,5,6,7,2,10,60,2,10,13
10,2,3,3,4,3,6,4,NA,27,2,4,3
NA,7,5,3,8,9,9,5,3,NA,2,2,9
40,6,6,3,7,7,7,6,11,23,2,1,11
30,6,7,3,6,8,9,5,3,63,2,10,3
120,5,6,3,9,9,8,7,NA,17,2,6,3
30,7,8,3,7,9,8,7,2,29,2,3,13
60,8,8,2,8,10,10,5,7,60,2,3,8
120,9,10,3,9,9,10,8,5,90,2,NA,8
60,5,NA,NA,10,NA,NA,NA,NA,41,2,2,6
NA,7,6,5,7,10,10,7,NA,28,2,2,10
30,4,5,2,4,4,7,4,NA,33,1,7,10
5,8,7,3,6,6,6,4,NA,36,2,2,6
20,4,5,4,10,NA,10,7,2,41,2,5,12
30,6,6,4,6,8,7,5,6,35,2,6,10
15,9,9,3,8,9,8,8,6,49,1,5,6
120,8,8,2,5,7,7,4,5,62,1,5,8
NA,5,9,2,10,10,10,9,NA,26,1,2,3
180,8,6,2,9,8,8,7,3,78,1,4,8
120,8,7,3,10,9,10,8,8,59,1,5,8
60,5,7,3,3,6,8,6,3,72,1,3,6
30,8,7,2,5,7,7,5,7,58,1,7,6
1,8,8,2,8,8,10,7,2,28,1,2,5
10,8,8,3,8,8,7,6,7,33,1,5,13
45,7,7,3,7,6,5,5,4,62,1,9,13
844,7,7,3,6,9,8,4,NA,74,1,4,13
NA,3,5,2,4,4,5,2,3,47,2,3,5
30,5,4,2,6,7,9,8,NA,30,2,3,8
90,5,5,3,7,6,6,3,1,33,1,7,8
60,8,8,4,8,9,8,7,7,41,2,4,9
30,10,10,3,8,9,9,3,5,41,2,2,8
120,4,6,3,7,6,8,5,NA,16,1,8,3
120,10,10,1,5,5,6,2,3,75,2,2,10
30,7,7,3,6,4,4,5,7,30,1,3,6
420,7,8,3,7,7,10,7,8,23,1,1,6
120,7,7,4,8,10,9,6,3,41,2,6,13
30,8,8,4,7,8,8,6,3,51,2,8,6
10,6,7,4,6,NA,8,6,NA,16,1,9,2
747,7,7,3,7,9,8,7,4,33,1,10,13
30,9,9,4,9,8,8,7,NA,39,1,7,6
270,6,8,3,7,8,6,4,1,68,2,5,13
180,5,7,2,7,9,9,7,7,74,1,3,5
10,7,8,2,0,5,5,0,8,44,1,5,6
60,8,8,3,7,8,8,5,10,52,1,2,11
60,6,6,3,5,8,8,6,6,42,1,10,6
10,4,9,2,8,7,7,2,6,43,2,3,5
30,5,5,2,3,3,4,1,11,70,1,1,6
30,8,8,4,7,7,6,6,7,20,1,9,6
120,7,5,4,7,9,9,6,2,67,1,1,3
60,10,10,3,5,8,7,4,3,68,2,7,13
180,7,7,3,6,8,7,6,3,71,2,5,10
150,5,5,3,6,5,5,5,5,72,2,4,10
90,8,7,2,7,7,6,6,7,60,1,5,6
30,1,3,1,1,1,1,1,NA,27,1,2,6
995,6,8,1,6,10,10,3,NA,43,1,4,9
30,10,8,3,9,8,9,8,NA,16,1,NA,2
30,7,8,3,7,8,9,4,3,37,1,6,10
785,6,6,3,4,5,6,4,NA,32,2,3,9
120,5,7,3,7,7,9,6,5,71,1,5,10
90,7,7,4,10,9,9,5,7,22,1,NA,8
20,8,8,3,6,7,5,5,3,40,1,2,6
20,3,5,2,0,4,0,0,NA,25,1,2,3
60,7,8,3,6,7,7,5,3,30,2,5,9
60,6,8,3,8,9,9,6,3,43,2,9,13
60,8,5,3,7,9,6,5,2,69,2,3,10
13,7,6,2,3,5,8,2,11,26,1,6,3
NA,8,6,2,4,7,7,3,3,71,2,2,5
10,8,8,3,10,10,10,9,NA,19,2,NA,5
90,6,6,3,7,7,5,4,2,35,1,8,11
120,5,7,2,5,7,7,4,8,56,1,7,5
1003,7,7,3,7,7,6,4,3,31,1,8,9
30,8,8,2,7,8,8,7,NA,57,2,2,6
90,7,7,4,9,10,10,7,NA,NA,1,9,3
120,9,7,3,9,10,6,6,3,62,1,9,11
60,6,6,2,5,6,7,4,6,35,2,9,6
