"polintr","actrolga","prtvtcgb","lrscale","stflife","stfdem","stfhlth","euftf","imbgeco","imueclt","inprdsc","atchctr","dscrrce","dscrsex","eisced","cntry"
3,4,NA,5,8,7,4,8,7,8,3,6,0,0,5,"DE"
1,4,NA,2,9,8,7,9,8,6,6,8,1,0,5,"DE"
2,2,NA,3,9,8,6,9,8,8,4,7,0,0,7,"DE"
1,2,NA,2,9,8,6,4,5,3,4,9,0,0,5,"DE"
1,2,NA,5,5,6,3,6,6,7,4,9,0,0,3,"DE"
3,1,NA,7,8,3,8,5,4,1,2,10,0,0,3,"DE"
1,3,NA,5,8,4,5,4,5,5,4,5,0,0,5,"DE"
2,3,NA,3,6,6,8,8,8,8,3,10,0,0,7,"DE"
2,1,NA,5,8,4,6,0,5,5,4,8,0,0,3,"DE"
3,2,NA,4,5,1,5,5,5,3,3,7,0,0,3,"DE"
1,4,NA,4,7,7,6,8,8,7,4,8,0,0,5,"DE"
1,2,NA,8,10,8,5,5,4,2,3,10,0,0,5,"DE"
3,1,NA,5,8,8,8,8,3,5,2,7,0,0,3,"DE"
3,1,NA,8,7,1,6,3,5,3,3,8,0,0,3,"DE"
2,3,NA,3,9,7,6,10,8,7,4,4,0,0,6,"DE"
2,1,NA,7,3,8,8,4,7,9,2,8,0,0,7,"DE"
1,5,NA,1,5,1,9,9,7,8,6,7,0,0,6,"DE"
3,2,NA,8,8,7,8,8,8,7,3,9,0,0,3,"DE"
2,3,NA,6,6,8,4,1,3,7,3,8,0,0,5,"DE"
1,2,NA,1,4,4,9,9,5,5,4,10,0,0,3,"DE"
2,3,NA,6,8,2,4,0,7,3,3,8,0,0,3,"DE"
1,1,NA,0,8,5,2,6,8,6,4,7,0,0,7,"DE"
1,1,NA,3,9,2,3,8,7,9,3,3,0,0,2,"DE"
4,1,NA,3,7,9,8,8,6,8,5,6,0,0,7,"DE"
2,1,NA,4,10,5,7,3,3,3,4,10,0,0,3,"DE"
2,2,NA,5,3,5,1,3,0,1,2,4,0,0,1,"DE"
1,3,NA,3,10,9,7,10,7,10,5,10,0,0,7,"DE"
2,3,NA,3,9,6,5,8,8,4,3,9,0,0,5,"DE"
1,4,NA,2,9,8,7,7,9,10,4,9,0,0,7,"DE"
2,1,NA,8,2,0,8,3,5,5,2,10,0,0,3,"DE"
3,2,NA,0,9,6,6,7,5,9,4,9,0,0,2,"DE"
1,4,NA,7,9,7,7,10,10,9,2,9,0,0,3,"DE"
2,1,NA,3,9,6,6,9,5,8,3,8,0,0,3,"DE"
2,3,NA,3,6,6,5,6,7,8,5,3,1,0,4,"DE"
3,4,NA,4,8,7,2,6,5,5,4,6,0,0,4,"DE"
1,1,NA,0,8,6,7,9,7,9,4,9,0,0,5,"DE"
1,3,NA,4,8,9,5,10,10,10,3,10,0,0,5,"DE"
1,4,NA,5,8,5,8,2,7,5,4,10,0,0,5,"DE"
3,1,NA,5,5,5,5,7,3,5,3,8,0,0,6,"DE"
2,4,NA,5,8,7,8,3,0,4,3,10,0,0,4,"DE"
2,2,NA,10,7,6,9,10,6,6,4,10,0,0,3,"DE"
2,2,NA,3,4,3,8,7,8,5,2,10,0,0,3,"DE"
1,2,NA,4,10,7,7,10,8,8,4,7,0,0,7,"DE"
2,2,NA,4,9,7,7,5,10,10,5,9,0,0,4,"DE"
3,2,NA,2,9,7,8,3,7,8,4,10,0,0,3,"DE"
2,3,NA,5,9,3,8,3,7,8,4,6,0,0,6,"DE"
2,3,NA,5,9,8,3,7,6,7,3,7,0,0,5,"DE"
1,3,NA,6,9,8,5,9,8,7,4,9,0,0,7,"DE"
3,2,NA,4,7,4,5,0,5,1,2,9,0,0,1,"DE"
2,2,NA,3,8,3,5,7,5,5,3,8,0,0,2,"DE"
2,3,NA,5,9,0,4,6,3,8,6,10,0,0,5,"DE"
2,3,NA,2,8,6,8,10,8,9,4,4,0,0,7,"DE"
1,3,NA,5,8,10,4,7,7,7,6,8,0,0,5,"DE"
3,1,NA,5,10,5,5,5,10,9,3,8,0,0,5,"DE"
3,3,NA,3,8,5,8,7,7,6,4,3,0,0,1,"DE"
